id,keyo,image hi-res,image 2 retina,direction
189,33,0108_2PV2_Stir-Fry-Egg_0175_WEB_high_feature,0108_2PV2_Stir-Fry-Egg_0175_WEB_retina_feature,"1. Prepare the ingredients & marinate the radish: Wash and dry the fresh produce. Peel the carrots; thinly slice on an angle. Slice the celery on an angle into 1/2-inch-thick pieces. Halve the orange; squeeze the juice into a medium bowl, straining out any seeds. Peel and roughly chop the garlic. Peel and finely chop the ginger. Cut off and discard the root end of the bok choy; roughly chop. Quarter and deseed the lemon. Cut off and discard the ends of the radishes; small dice. Place in a bowl and top with the juice of 1 lemon wedge and half the sesame oil. Season with salt and pepper. Set aside to marinate, stirring occasionally, for at least 10 minutes. Season with salt and pepper to taste."
190,33,0108_2PV2_Sweet-Sour-Stir-Fry_97727_WEB_high_feature,0108_2PV2_Sweet-Sour-Stir-Fry_97727_WEB_retina_feature,"2. While the radishes marinate, in a medium saucepan, combine the rice, a big pinch of salt, and 1 1/2 cups of water; heat to boiling on high. Once boiling, cover and reduce the heat to low. Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. Turn off the heat and fluff with a fork. Cover to keep warm."
191,33,0108_2PV2_Sweet-Sour-Stir-Fry_97749_WEB_high_feature,0108_2PV2_Sweet-Sour-Stir-Fry_97749_WEB_retina_feature,"3. Start the stir-fry: While the rice cooks, in a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the sliced carrots and celery; season with salt and pepper. Cook, stirring occasionally, 6 to 7 minutes, or until slightly softened."
192,33,0108_2PV2_Sweet-Sour-Stir-Fry_97760_WEB_high_feature,0108_2PV2_Sweet-Sour-Stir-Fry_97760_WEB_retina_feature,"4. While the vegetables cook, to the bowl of orange juice, add the soy glaze, soy marinade, and the juice of the remaining lemon wedges. Stir to combine; season with salt and pepper to taste."
193,33,0108_2PV2_Sweet-Sour-Stir-Fry_97772_WEB_high_feature,0108_2PV2_Sweet-Sour-Stir-Fry_97772_WEB_retina_feature,"5. Finish the stir-fry: To the pan of vegetables, add the chopped garlic and ginger and remaining sesame oil. Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. Add the sauce and chopped bok choy; cook, stirring constantly, 1 to 2 minutes, or until the bok choy leaves have wilted. Transfer to a bowl and season with salt and pepper to taste. Rinse and wipe out the pan."
194,33,828_2PV2_Lentil-Bowl_81961_PRINT_WEB_high_feature,828_2PV2_Lentil-Bowl_81961_PRINT_WEB_retina_feature,"6. Fry the eggs & serve your dish: In the same pan, heat 2 teaspoons of olive oil on medium-high until hot. Keeping them separate, crack the eggs into the pan; season with salt and pepper. Cook 4 to 5 minutes, or until the whites are set and the yolks are cooked to your desired degree of doneness. Turn off the heat. Stir the marinated radishes (including any marinating liquid) into the saucepan of cooked rice. Serve the finished rice with the finished stir-fry. Top with the fried eggs and peanuts. Enjoy!"
195,34,1218_2PRE07_Thai-Curry-Chicken_18444_WEB_high_feature,1218_2PRE07_Thai-Curry-Chicken_18444_WEB_retina_feature,"1. Prepare the ingredients & rehydrate the mushrooms: Wash and dry the fresh produce. In a bowl, combine the mushrooms and 1 cup of warm water. Let stand for at least 10 minutes. Peel the carrots; thinly slice into rounds. Cut off and discard the root end of the bok choy; thinly slice the stems and roughly chop the leaves, keeping them separate. Quarter the lime."
196,34,1218_2PRE07_Thai-Curry-Chicken_18470_WEB_high_feature,1218_2PRE07_Thai-Curry-Chicken_18470_WEB_retina_feature,"2. In a small saucepan, combine the rice, a big pinch of salt, and 1 1/2 cups of water; heat to boiling on high. Once boiling, cover and reduce the heat to low. Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. Turn off the heat and fluff with a fork. Cover and set aside in a warm place."
197,34,1218_2PRE07_Thai-Curry-Chicken_18455_WEB_high_feature,1218_2PRE07_Thai-Curry-Chicken_18455_WEB_retina_feature,"3. While the rice cooks, pat the chicken dry with paper towels; season with salt and pepper. In a large pan, heat 1 tablespoon of olive oil on medium-high until hot. Add the seasoned chicken; cook, stirring occasionally, 3 to 4 minutes, or until lightly browned. Leaving any browned bits (or fond) in the pan, transfer to a plate."
198,34,1218_2PRE07_Thai-Curry-Chicken_18459_WEB_high_feature,1218_2PRE07_Thai-Curry-Chicken_18459_WEB_retina_feature,"4. Chop the mushrooms & start the curry: While the chicken browns, drain the rehydrated mushrooms. Transfer to a cutting board and roughly chop. Add 2 teaspoons of olive oil to the pan of reserved fond; heat on medium-high until hot. Add the sliced carrots and as much of the curry paste as you’d like, depending on how spicy you’d like the dish to be; season with salt and pepper. Cook, stirring frequently, 1 to 2 minutes, or until slightly softened and fragrant."
199,34,1218_2PRE07_Thai-Curry-Chicken_18488_1_WEB_high_feature,1218_2PRE07_Thai-Curry-Chicken_18488_1_WEB_retina_feature,"5. To the pan, add the browned chicken, sliced bok choy stems, Golden Mountain sauce, chopped mushrooms, and coconut milk (shaking the can just before opening); season with salt and pepper. Heat to boiling on high. Once boiling, reduce the heat to medium-high and cook, stirring occasionally, 4 to 5 minutes, or until the liquid is slightly reduced in volume. Add the chopped bok choy leaves. Cook, stirring occasionally, 2 to 3 minutes, or until the liquid is slightly thickened and the chicken is cooked through. Turn off the heat and stir in the juice of 2 lime wedges. Season with salt and pepper to taste. Serve the finished curry and cooked rice with the remaining lime wedges on the side. Enjoy!"
200,35,1225_2PF_Tilapia_18754_WEB_high_feature,1225_2PF_Tilapia_18754_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 450°F. Heat a medium saucepan of salted water to boiling on high. Once boiling, add the lentils and cook, uncovered, 24 to 26 minutes, or until tender. Turn off the heat. Drain thoroughly and rinse under warm water; return to the pot. Cover to keep warm."
201,35,1225_2PF_Tilapia_18757_WEB_high_feature,1225_2PF_Tilapia_18757_WEB_retina_feature,"2. Prepare & roast the broccoli: 
While the lentils cook, wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. Place on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast 15 to 17 minutes, or until browned and tender when pierced with a fork. Remove from the oven."
202,35,1225_2PF_Tilapia_18753_WEB_high_feature,1225_2PF_Tilapia_18753_WEB_retina_feature,"3. Prepare the remaining ingredients: While the broccoli roasts, peel the garlic. Roughly chop 1 clove. Finely chop the remaining clove; using the flat side of your knife, smash until it resembles a paste (or use a zester). Using a peeler, remove the yellow rind of the lemon, avoiding the white pith; mince the rind to get 2 teaspoons of zest (or use a zester). Quarter and deseed the lemon. Roughly chop the peppers. Finely chop the parsley leaves and stems. To make the gremolata, in a bowl, combine the lemon zest, chopped peppers, half the chopped parsley, the juice of 2 lemon wedges, 1 tablespoon of olive oil, and as much of the garlic paste as you’d like. Season with salt and pepper to taste."
203,35,1225_2PF_Tilapia_18758_WEB_high_feature,1225_2PF_Tilapia_18758_WEB_retina_feature,"4. Pat the fish fillets dry with paper towels; season with salt and pepper on both sides. In a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the seasoned fillets and cook 2 to 3 minutes per side, or until lightly browned and cooked through. Leaving any browned bits (or fond) in the pan, transfer to a plate."
204,35,1225_2PF_Tilapia_18762_WEB_high_feature,1225_2PF_Tilapia_18762_WEB_retina_feature,"5. Make the pan sauce: 
Add the capers, chopped garlic, butter, and 1 tablespoon of olive oil to the pan of reserved fond; season with salt and pepper. Cook on medium- high, stirring constantly and scraping up any fond, 1 to 2 minutes, or until browned and fragrant. Turn off the heat; stir in the juice of the remaining lemon wedges (be careful, as the liquid may splatter). Season with salt and pepper to taste."
205,35,1225_2PF_Tilapia_18760_copy_WEB_high_feature,1225_2PF_Tilapia_18760_copy_WEB_retina_feature,"6. Finish the lentils & serve your dish: To the saucepan of cooked lentils, add the roasted broccoli and gremolata. Stir to combine; season with salt and pepper to taste. Serve the finished lentils with the cooked fish fillets. Top the fish with the pan sauce. Garnish with the remaining chopped parsley. Enjoy"
206,36,0108_FPM_Seared-Steaks_97909_WEB_high_feature,0108_FPM_Seared-Steaks_97909_WEB_retina_feature,"1. Wash and dry the fresh produce. Quarter the mushrooms. Peel and thinly slice the shallot. Peel and finely chop the ginger. Cut off and discard the root end of the bok choy; roughly chop. Quarter the lime. Cut off and discard the ends of the radishes; thinly slice into rounds. Place in a bowl and top with the juice of 1 lime wedge and a drizzle of olive oil; season with salt and pepper. Stir to coat. In a bowl, combine the ponzu sauce, sweet chili sauce, sugar, 1/4 cup of water, and as much of the soy marinade as you’d like."
207,36,0108_FPM_Seared-Steaks_97920_WEB_high_feature,0108_FPM_Seared-Steaks_97920_WEB_retina_feature,"2. In a medium pot, combine the rice, a big pinch of salt, and 1 1/2 cups of water; heat to boiling on high. Once boiling, cover and reduce the heat to low. Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. Turn off the heat and fluff with a fork. Cover to keep warm."
208,36,0108_FPM_Seared-Steaks_97914_WEB_high_feature,0108_FPM_Seared-Steaks_97914_WEB_retina_feature,"3. While the rice cooks, pat the steaks dry with paper towels; season with salt and pepper on both sides. In a large pan, heat 2 tablespoons of olive oil on medium-high until hot. Add the seasoned steaks and cook 4 to 5 minutes per side for medium-rare, or until browned and cooked to your desired degree of doneness. Leaving any browned bits (or fond) in the pan, transfer to a cutting board and let rest for at least 5 minutes."
209,36,0108_FPM_Seared-Steaks_97929_WEB_high_feature,0108_FPM_Seared-Steaks_97929_WEB_retina_feature,"4. While the steaks rest, add 1 tablespoon of olive oil to the pan of reserved fond; heat on medium-high until hot. Add the quartered mushrooms in an even layer. Cook, without stirring, 3 to 4 minutes, or until lightly browned and slightly softened. Add the sliced shallot and chopped ginger; season with salt and pepper. Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant."
210,36,0108_FPM_Seared-Steaks_97936_WEB_high_feature,0108_FPM_Seared-Steaks_97936_WEB_retina_feature,"5. Add the glaze and chopped bok choy to the pan; season with salt and pepper. Cook, stirring occasionally, 4 to 5 minutes, or until the glaze is slightly thickened and the vegetables have softened. Turn off the heat and stir in the juice of the remaining lime wedges. Season with salt and pepper to taste."
211,36,0108_FPM_Seared-Steaks_97945_WEB_high_feature,0108_FPM_Seared-Steaks_97945_WEB_retina_feature,6. Find the lines of muscle (or grain) on the rested steaks; thinly slice crosswise against the grain. Serve the sliced steaks with the cooked rice and glazed vegetables. Garnish with the marinated radishes (draining before adding). Enjoy!
212,37,0101_2PP_Chicken-Lentil-Stew_18500_WEB_high_feature,0101_2PP_Chicken-Lentil-Stew_18500_WEB_retina_feature,"1. Heat a medium pot of salted water to boiling on high. Once boiling, add the lentils and cook, uncovered, 27 to 29 minutes, or until tender. Drain thoroughly and rinse under warm water 30 seconds to 1 minute, or until the water runs clear."
213,37,0101_2PP_Chicken-Lentil-Stew_18453_WEB_high_feature,0101_2PP_Chicken-Lentil-Stew_18453_WEB_retina_feature,"2. While the lentils cook, wash and dry the fresh produce. Peel and thinly slice the onion. Peel and roughly chop the garlic. Peel and medium dice the carrots. Roughly chop the capers. Remove and discard the stems of the collard greens; roughly chop the leaves."
214,37,0101_2PP_Chicken-Lentil-Stew_18494_WEB_high_feature,0101_2PP_Chicken-Lentil-Stew_18494_WEB_retina_feature,"3. While the lentils continue to cook, pat the chicken dry with paper towels; season on both sides with salt, pepper, and half the spice blend. In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the seasoned chicken and cook 5 to 7 minutes per side, or until browned and cooked through. Leaving any browned bits (or fond) in the pan, transfer to a cutting board."
215,37,0101_2PP_Chicken-Lentil-Stew_18508_WEB_high_feature,0101_2PP_Chicken-Lentil-Stew_18508_WEB_retina_feature,"4. Add the sliced onion, chopped garlic, and diced carrots to pan of reserved fond; season with salt and pepper. (If the pan seems dry, add 2 teaspoons of olive oil.) Cook on medium-high, stirring frequently, 4 to 5 minutes, or until softened and fragrant. Add the tomato paste, chopped capers, remaining spice blend, and as much of the red pepper flakes as you’d like, depending on how spicy you’d like the dish to be. Cook, stirring constantly, 30 seconds to 1 minute, or until dark red and fragrant. Add the chopped collard greens and 2 cups of water; season with salt and pepper."
216,37,0101_2PP_Chicken-Lentil-Stew_18508_WEB_high_feature,0101_2PP_Chicken-Lentil-Stew_18508_WEB_retina_feature,"5. Cook, stirring constantly, 30 seconds to 1 minute, or until dark red and fragrant. Add the chopped collard greens and 2 cups of water; season with salt and pepper. Cook, stirring occasionally and scraping up any fond, 8 to 9 minutes, or until the collard greens have wilted and the liquid has thickened. Turn off the heat."
217,37,0101_2PP_Chicken-Lentil-Stew_18520_WEB_high_feature,0101_2PP_Chicken-Lentil-Stew_18520_WEB_retina_feature,6. Slice the cooked chicken crosswise. Add the cooked lentils and vinegar to the pan of cooked vegetables. Stir to combine. Season with salt and pepper to taste. Serve the finished lentils and vegetables topped with the sliced chicken. Garnish with the cheese. Enjoy!
